ID	Long	Lat	Present	Stable_noExpand	Stable_WhithExpand	Leading	Future	Trailing	prop_perda	Turnover_beta	Nestedness_beta	Dissimilarity_beta
82	32.5	35.5	3	3	2	0	2	0	-0.333333333	0	0.2	0.2
83	32.5	36.5	6	1	1	0	6	5	0	0	0	0
84	32.5	37.5	8	7	7	1	8	1	0	0	0.066666667	0.066666667
85	32.5	38.5	7	4	6	2	9	3	0.285714286	0	0.066666667	0.066666667
86	32.5	39.5	9	1	1	0	9	8	0	0	0	0
87	32.5	40.5	8	3	2	0	6	4	-0.25	0	0.142857143	0.142857143
88	32.5	41.5	9	4	5	1	9	4	0	0	0.058823529	0.058823529
89	33.5	34.5	3	1	1	0	3	2	0	0	0	0
90	33.5	35.5	3	3	1	0	1	0	-0.666666667	0	0.5	0.5
91	33.5	36.5	6	0	0	0	6	6	0	0	0	0
92	33.5	37.5	5	4	7	3	8	1	0.6	0	0.230769231	0.230769231
93	33.5	38.5	3	0	3	3	6	3	1	0	0.25	0.25
94	33.5	39.5	5	1	1	0	5	4	0	0	0	0
95	33.5	40.5	8	1	1	0	7	6	-0.125	0	0.066666667	0.066666667
96	33.5	41.5	9	1	1	0	8	7	-0.111111111	0	0.058823529	0.058823529
97	33.5	42.5	8	3	1	0	6	5	-0.25	0	0.142857143	0.142857143
98	34.5	28.5	0	0	0	0	0	0	0	0	0	0
99	34.5	29.5	2	1	2	1	3	1	0.5	0	0	0
100	34.5	30.5	3	3	4	1	4	0	0.333333333	0	0.142857143	0.142857143
101	34.5	31.5	6	0	1	1	7	6	0.166666667	0	0	0
102	34.5	32.5	5	1	1	0	5	4	0	0	0	0
103	34.5	34.5	3	1	1	0	3	2	0	0	0	0
104	34.5	35.5	3	3	2	0	2	0	-0.333333333	0	0.2	0.2
105	34.5	36.5	8	0	0	0	8	8	0	0	0	0
106	34.5	37.5	9	7	8	1	10	2	0.111111111	0	0	0
107	34.5	38.5	3	3	3	0	3	0	0	0	0	0
108	34.5	39.5	5	2	3	1	6	3	0.2	0	0.090909091	0.090909091
109	34.5	40.5	7	1	2	1	8	6	0.142857143	0	0.066666667	0.066666667
110	34.5	41.5	10	1	3	2	11	8	0.1	0	0.052631579	0.052631579
111	34.5	42.5	9	6	5	0	8	3	-0.111111111	0	0.058823529	0.058823529
112	35.5	26.5	0	0	1	1	1	0	0	0	0	1
113	35.5	27.5	1	1	1	0	1	0	0	0	0	0
114	35.5	28.5	1	0	0	0	1	1	0	0	0	0
115	35.5	29.5	2	0	2	2	4	2	1	0	0	0
116	35.5	30.5	3	3	2	1	2	0	-0.333333333	0.5	0.1	0.6
117	35.5	31.5	6	5	5	0	6	1	0	0	0	0
118	35.5	32.5	5	3	3	0	5	2	0	0	0	0
119	35.5	33.5	6	0	1	1	6	5	0	0	0.090909091	0.090909091
120	35.5	34.5	5	4	3	0	4	1	-0.2	0	0.111111111	0.111111111
121	35.5	35.5	7	6	5	0	6	1	-0.142857143	0	0.076923077	0.076923077
122	35.5	36.5	8	0	3	3	11	8	0.375	0	0	0
123	35.5	37.5	10	9	9	1	10	1	0	0	0.052631579	0.052631579
124	35.5	38.5	5	4	5	1	6	1	0.2	0	0	0
125	35.5	39.5	5	3	5	2	7	2	0.4	0	0.090909091	0.090909091
126	35.5	40.5	7	1	1	0	7	6	0	0	0	0
127	35.5	41.5	9	1	2	1	9	7	0	0	0.058823529	0.058823529
128	35.5	42.5	9	6	5	0	8	3	-0.111111111	0	0.058823529	0.058823529
129	36.5	25.5	0	0	0	0	0	0	0	0	0	0
130	36.5	26.5	0	0	0	0	0	0	0	0	0	0
131	36.5	27.5	1	0	0	0	1	1	0	0	0	0
132	36.5	28.5	1	0	1	1	2	1	1	0	0	0
133	36.5	29.5	2	0	1	1	3	2	0.5	0	0	0
134	36.5	30.5	2	2	1	1	1	0	-0.5	1	0	1
135	36.5	31.5	5	4	2	0	3	1	-0.4	0	0.25	0.25
136	36.5	32.5	5	0	1	1	6	5	0.2	0	0	0
137	36.5	33.5	5	1	1	0	5	4	0	0	0	0
138	36.5	34.5	5	1	4	3	8	4	0.6	0	0.166666667	0.166666667
139	36.5	35.5	7	3	3	2	7	4	0	0	0.166666667	0.166666667
140	36.5	36.5	9	1	3	2	11	8	0.222222222	0	0	0
141	36.5	37.5	9	8	7	0	8	1	-0.111111111	0	0.058823529	0.058823529
142	36.5	38.5	6	5	6	1	7	1	0.166666667	0	0	0
143	36.5	39.5	6	3	3	1	6	3	0	0	0.090909091	0.090909091
144	36.5	40.5	8	3	3	0	8	5	0	0	0	0
145	36.5	41.5	8	3	4	1	9	5	0.125	0	0	0
146	37.5	24.5	0	0	0	0	0	0	0	0	0	0
147	37.5	25.5	0	0	0	0	0	0	0	0	0	0
148	37.5	26.5	0	0	0	0	0	0	0	0	0	0
149	37.5	27.5	0	0	0	0	0	0	0	0	0	0
150	37.5	28.5	0	0	1	1	1	0	0	0	0	1
151	37.5	29.5	0	0	0	0	0	0	0	0	0	0
152	37.5	30.5	0	0	0	0	0	0	0	0	0	0
153	37.5	31.5	2	0	0	0	2	2	0	0	0	0
154	37.5	32.5	2	0	1	1	3	2	0.5	0	0.2	0.2
155	37.5	33.5	1	0	0	0	1	1	0	0	0	0
156	37.5	34.5	1	1	2	1	2	0	1	0	0.333333333	0.333333333
157	37.5	35.5	2	2	3	1	3	0	0.5	0	0.2	0.2
158	37.5	36.5	6	2	5	3	9	4	0.5	0	0.076923077	0.076923077
159	37.5	37.5	7	6	6	1	7	1	0	0.142857143	0	0.142857143
160	37.5	38.5	5	5	5	0	5	0	0	0	0	0
161	37.5	39.5	6	4	5	1	7	2	0.166666667	0	0	0
162	37.5	40.5	9	6	7	1	10	3	0.111111111	0	0	0
163	37.5	41.5	9	2	3	1	10	7	0.111111111	0	0	0
164	38.5	21.5	3	2	3	1	3	0	0	0	0	0
165	38.5	22.5	1	0	0	0	0	0	-1	0	0	1
166	38.5	23.5	1	0	1	1	1	0	0	1	0	1
167	38.5	24.5	0	0	0	0	0	0	0	0	0	0
168	38.5	25.5	0	0	0	0	0	0	0	0	0	0
169	38.5	26.5	0	0	0	0	0	0	0	0	0	0
170	38.5	27.5	0	0	0	0	0	0	0	0	0	0
171	38.5	28.5	0	0	0	0	0	0	0	0	0	0
172	38.5	29.5	0	0	0	0	0	0	0	0	0	0
173	38.5	30.5	0	0	0	0	0	0	0	0	0	0
174	38.5	31.5	0	0	0	0	0	0	0	0	0	0
175	38.5	32.5	0	0	0	0	0	0	0	0	0	0
176	38.5	33.5	0	0	0	0	0	0	0	0	0	0
177	38.5	34.5	0	0	0	0	0	0	0	0	0	0
178	38.5	35.5	1	1	1	0	1	0	0	0	0	0
179	38.5	36.5	3	0	2	2	5	3	0.666666667	0	0.142857143	0.142857143
180	38.5	37.5	4	2	4	2	6	2	0.5	0	0.111111111	0.111111111
181	38.5	38.5	4	4	6	2	6	0	0.5	0	0.2	0.2
182	38.5	39.5	7	4	4	1	6	2	-0.142857143	0	0.166666667	0.166666667
183	38.5	40.5	9	8	8	0	9	1	0	0	0	0
184	38.5	41.5	8	1	1	0	8	7	0	0	0	0
185	39.5	20.5	4	1	1	0	1	0	-0.75	0	0.6	0.6
186	39.5	21.5	3	1	1	0	1	0	-0.666666667	0	0.5	0.5
187	39.5	22.5	3	1	2	1	2	0	-0.333333333	0	0.2	0.2
188	39.5	23.5	1	0	0	0	0	0	-1	0	0	1
189	39.5	24.5	0	0	0	0	0	0	0	0	0	0
190	39.5	25.5	0	0	0	0	0	0	0	0	0	0
191	39.5	26.5	0	0	0	0	0	0	0	0	0	0
192	39.5	27.5	0	0	0	0	0	0	0	0	0	0
193	39.5	28.5	0	0	0	0	0	0	0	0	0	0
194	39.5	29.5	0	0	0	0	0	0	0	0	0	0
195	39.5	30.5	0	0	0	0	0	0	0	0	0	0
196	39.5	31.5	0	0	0	0	0	0	0	0	0	0
197	39.5	32.5	0	0	0	0	0	0	0	0	0	0
198	39.5	33.5	0	0	0	0	0	0	0	0	0	0
199	39.5	34.5	0	0	0	0	0	0	0	0	0	0
200	39.5	35.5	1	0	0	0	1	1	0	0	0	0
201	39.5	36.5	4	0	1	1	5	4	0.25	0	0	0
202	39.5	37.5	5	3	2	0	4	2	-0.2	0	0.111111111	0.111111111
203	39.5	38.5	4	4	5	1	5	0	0.25	0	0.111111111	0.111111111
204	39.5	39.5	8	5	7	2	9	2	0.125	0	0.066666667	0.066666667
205	39.5	40.5	8	8	8	0	8	0	0	0	0	0
206	39.5	41.5	8	1	1	0	8	7	0	0	0	0
207	40.5	19.5	4	2	1	0	1	0	-0.75	0	0.6	0.6
208	40.5	20.5	5	0	0	0	1	1	-0.8	0	0.666666667	0.666666667
209	40.5	21.5	4	0	0	0	1	1	-0.75	0	0.6	0.6
210	40.5	22.5	3	0	0	0	0	0	-1	0	0	1
211	40.5	23.5	1	0	0	0	0	0	-1	0	0	1
212	40.5	24.5	0	0	0	0	0	0	0	0	0	0
213	40.5	25.5	0	0	0	0	0	0	0	0	0	0
214	40.5	26.5	0	0	0	0	0	0	0	0	0	0
215	40.5	27.5	0	0	0	0	0	0	0	0	0	0
216	40.5	28.5	0	0	0	0	0	0	0	0	0	0
217	40.5	29.5	0	0	0	0	0	0	0	0	0	0
218	40.5	30.5	0	0	0	0	0	0	0	0	0	0
219	40.5	31.5	0	0	0	0	0	0	0	0	0	0
220	40.5	32.5	0	0	0	0	0	0	0	0	0	0
221	40.5	33.5	0	0	0	0	0	0	0	0	0	0
222	40.5	34.5	0	0	0	0	0	0	0	0	0	0
223	40.5	35.5	2	1	0	0	1	1	-0.5	0	0.333333333	0.333333333
224	40.5	36.5	4	0	0	0	4	4	0	0	0	0
225	40.5	37.5	5	3	1	0	3	2	-0.4	0	0.25	0.25
226	40.5	38.5	4	0	0	0	3	3	-0.25	0	0.142857143	0.142857143
227	40.5	39.5	7	3	5	2	9	4	0.285714286	0	0.066666667	0.066666667
228	40.5	40.5	9	4	7	3	12	5	0.333333333	0	0.052631579	0.052631579
229	40.5	41.5	9	0	0	0	9	9	0	0	0	0
230	40.5	42.5	8	0	0	0	8	8	0	0	0	0
231	40.5	43.5	9	2	3	1	10	7	0.111111111	0	0	0
232	41.5	16.5	1	0	0	0	1	1	0	0	0	0
233	41.5	17.5	4	3	2	0	2	0	-0.5	0	0.333333333	0.333333333
234	41.5	18.5	8	3	2	0	6	4	-0.25	0	0.142857143	0.142857143
235	41.5	19.5	8	2	2	0	6	4	-0.25	0	0.142857143	0.142857143
236	41.5	20.5	5	0	2	2	3	1	-0.4	0	0.25	0.25
237	41.5	21.5	3	0	0	0	1	1	-0.666666667	0	0.5	0.5
238	41.5	22.5	0	0	0	0	0	0	0	0	0	0
239	41.5	23.5	0	0	0	0	0	0	0	0	0	0
240	41.5	24.5	0	0	0	0	0	0	0	0	0	0
241	41.5	25.5	0	0	0	0	0	0	0	0	0	0
242	41.5	26.5	0	0	0	0	0	0	0	0	0	0
243	41.5	27.5	0	0	0	0	0	0	0	0	0	0
244	41.5	28.5	0	0	0	0	0	0	0	0	0	0
245	41.5	29.5	0	0	0	0	0	0	0	0	0	0
246	41.5	30.5	0	0	0	0	0	0	0	0	0	0
247	41.5	31.5	0	0	0	0	0	0	0	0	0	0
248	41.5	32.5	0	0	0	0	0	0	0	0	0	0
249	41.5	33.5	0	0	0	0	0	0	0	0	0	0
250	41.5	34.5	1	0	0	0	1	1	0	0	0	0
251	41.5	35.5	2	1	1	0	2	1	0	0	0	0
252	41.5	36.5	2	0	0	0	2	2	0	0	0	0
253	41.5	37.5	3	3	3	0	3	0	0	0	0	0
254	41.5	38.5	4	1	3	2	5	2	0.25	0	0.142857143	0.142857143
255	41.5	39.5	7	3	5	2	8	3	0.142857143	0	0.066666667	0.066666667
256	41.5	40.5	10	10	11	2	11	0	0.1	0.1	0.042857143	0.142857143
257	41.5	41.5	11	3	5	2	13	8	0.181818182	0	0	0
258	41.5	42.5	8	4	2	0	6	4	-0.25	0	0.142857143	0.142857143
259	41.5	43.5	8	8	6	0	6	0	-0.25	0	0.142857143	0.142857143
260	42.5	13.5	0	0	0	0	0	0	0	0	0	0
261	42.5	14.5	4	0	1	1	3	2	-0.25	0	0.142857143	0.142857143
262	42.5	15.5	4	0	0	0	2	2	-0.5	0	0.333333333	0.333333333
263	42.5	16.5	4	0	0	0	1	1	-0.75	0	0.6	0.6
264	42.5	17.5	5	0	1	1	3	2	-0.4	0	0.428571429	0.428571429
265	42.5	18.5	8	3	5	2	7	2	-0.125	0	0.066666667	0.066666667
266	42.5	19.5	6	2	4	2	7	3	0.166666667	0.166666667	0	0.166666667
267	42.5	20.5	1	1	1	0	1	0	0	0	0	0
268	42.5	21.5	0	0	0	0	0	0	0	0	0	0
269	42.5	22.5	0	0	0	0	0	0	0	0	0	0
270	42.5	23.5	0	0	0	0	0	0	0	0	0	0
271	42.5	24.5	0	0	0	0	0	0	0	0	0	0
272	42.5	25.5	0	0	0	0	0	0	0	0	0	0
273	42.5	26.5	0	0	0	0	0	0	0	0	0	0
274	42.5	27.5	0	0	0	0	0	0	0	0	0	0
275	42.5	28.5	0	0	0	0	0	0	0	0	0	0
276	42.5	29.5	0	0	0	0	0	0	0	0	0	0
277	42.5	30.5	0	0	0	0	0	0	0	0	0	0
278	42.5	31.5	0	0	0	0	0	0	0	0	0	0
279	42.5	32.5	0	0	0	0	0	0	0	0	0	0
280	42.5	33.5	0	0	0	0	0	0	0	0	0	0
281	42.5	34.5	1	0	0	0	1	1	0	0	0	0
282	42.5	35.5	2	0	0	0	2	2	0	0	0	0
283	42.5	36.5	3	0	0	0	3	3	0	0	0	0
284	42.5	37.5	5	3	3	0	5	2	0	0	0	0
285	42.5	38.5	7	7	7	0	7	0	0	0	0	0
286	42.5	39.5	6	0	0	0	6	6	0	0	0	0
287	42.5	40.5	7	1	1	1	7	6	0	0	0.076923077	0.076923077
288	42.5	41.5	12	6	5	0	11	6	-0.083333333	0	0.043478261	0.043478261
289	42.5	42.5	8	6	6	2	8	2	0	0	0.142857143	0.142857143
290	42.5	43.5	5	5	5	0	5	0	0	0	0	0
291	43.5	12.5	4	1	1	0	4	3	0	0	0	0
292	43.5	13.5	4	4	4	0	4	0	0	0	0	0
293	43.5	14.5	5	2	2	1	3	1	-0.4	0	0.25	0.25
294	43.5	15.5	6	3	2	0	3	1	-0.5	0	0.333333333	0.333333333
295	43.5	16.5	5	3	3	0	4	1	-0.2	0	0.111111111	0.111111111
296	43.5	17.5	5	2	3	1	4	1	-0.2	0	0.111111111	0.111111111
297	43.5	18.5	2	1	2	1	3	1	0.5	0	0	0
298	43.5	19.5	0	0	0	0	0	0	0	0	0	0
299	43.5	20.5	0	0	0	0	0	0	0	0	0	0
300	43.5	21.5	0	0	0	0	0	0	0	0	0	0
301	43.5	22.5	0	0	0	0	0	0	0	0	0	0
302	43.5	23.5	0	0	0	0	0	0	0	0	0	0
303	43.5	24.5	0	0	0	0	0	0	0	0	0	0
304	43.5	25.5	0	0	0	0	0	0	0	0	0	0
305	43.5	26.5	0	0	0	0	0	0	0	0	0	0
306	43.5	27.5	0	0	0	0	0	0	0	0	0	0
307	43.5	28.5	0	0	0	0	0	0	0	0	0	0
308	43.5	29.5	0	0	0	0	0	0	0	0	0	0
309	43.5	30.5	0	0	0	0	0	0	0	0	0	0
310	43.5	31.5	0	0	0	0	0	0	0	0	0	0
311	43.5	32.5	0	0	0	0	0	0	0	0	0	0
312	43.5	33.5	0	0	0	0	0	0	0	0	0	0
313	43.5	34.5	2	0	0	0	2	2	0	0	0	0
314	43.5	35.5	2	0	0	0	2	2	0	0	0	0
315	43.5	36.5	5	0	1	1	6	5	0.2	0	0	0
316	43.5	37.5	6	4	5	1	7	2	0.166666667	0	0	0
317	43.5	38.5	6	0	1	1	7	6	0.166666667	0	0	0
318	43.5	39.5	5	0	1	1	6	5	0.2	0	0	0
319	43.5	40.5	7	0	0	0	7	7	0	0	0	0
320	43.5	41.5	10	0	3	3	13	10	0.3	0	0	0
321	43.5	42.5	8	0	1	1	9	8	0.125	0	0	0
322	43.5	43.5	4	0	2	2	6	4	0.5	0	0.111111111	0.111111111
323	44.5	12.5	4	1	1	0	4	3	0	0	0	0
324	44.5	13.5	4	4	4	0	4	0	0	0	0	0
